date,temperture,lat,lon,predict temp,MAE,RMSE,RÂ²
2019/6/1,60.99458333,34.105,-118.2057289,74.02725408,3.757596482,5.382252267,-0.105922702
2019/6/1,62.145,34.135,-117.9557289,73.07124556,3.757596482,5.382252267,-0.105922702
2019/6/1,61.51875,34.115,-118.1057289,72.2673671,3.757596482,5.382252267,-0.105922702
2019/6/1,60.74,34.155,-118.0457289,71.57535614,3.757596482,5.382252267,-0.105922702
2019/6/1,58.67625,34.205,-118.2357289,70.978906,3.757596482,5.382252267,-0.105922702
2019/6/1,58.45875,34.175,-118.1857289,70.46478572,3.757596482,5.382252267,-0.105922702
2019/6/1,62.44375,33.955,-118.2257289,70.02162943,3.757596482,5.382252267,-0.105922702
2019/6/1,60.96125,34.005,-118.4757289,69.63964191,3.757596482,5.382252267,-0.105922702
2019/6/1,59.24458333,34.265,-118.3157289,69.31038003,3.757596482,5.382252267,-0.105922702
2019/6/1,61.605,34.125,-118.2557289,69.02656609,3.757596482,5.382252267,-0.105922702
2019/6/2,61.45583333,34.105,-118.2057289,68.78192691,3.757596482,5.382252267,-0.105922702
2019/6/2,62.13916667,34.135,-117.9557289,68.57105523,3.757596482,5.382252267,-0.105922702
2019/6/2,61.81125,34.115,-118.1057289,68.38929011,3.757596482,5.382252267,-0.105922702
2019/6/2,61.01458333,34.155,-118.0457289,68.23261398,3.757596482,5.382252267,-0.105922702
2019/6/2,59.47583333,34.205,-118.2357289,68.09756383,3.757596482,5.382252267,-0.105922702
2019/6/2,59.04916667,34.175,-118.1857289,67.98115461,3.757596482,5.382252267,-0.105922702
2019/6/2,62.52833333,33.955,-118.2257289,67.88081333,3.757596482,5.382252267,-0.105922702
2019/6/2,62.14583333,34.005,-118.4757289,67.79432214,3.757596482,5.382252267,-0.105922702
2019/6/2,60.56166667,34.265,-118.3157289,67.7197693,3.757596482,5.382252267,-0.105922702
2019/6/2,62.28333333,34.125,-118.2557289,67.65550697,3.757596482,5.382252267,-0.105922702
2019/6/3,62.81416667,34.105,-118.2057289,67.60011476,3.757596482,5.382252267,-0.105922702
2019/6/3,63.33083333,34.135,-117.9557289,67.55236831,3.757596482,5.382252267,-0.105922702
2019/6/3,63.14416667,34.115,-118.1057289,67.5112123,3.757596482,5.382252267,-0.105922702
2019/6/3,62.27875,34.155,-118.0457289,67.47573705,3.757596482,5.382252267,-0.105922702
2019/6/3,61.24208333,34.205,-118.2357289,67.44515843,3.757596482,5.382252267,-0.105922702
2019/6/3,60.72541667,34.175,-118.1857289,67.41880057,3.757596482,5.382252267,-0.105922702
2019/6/3,63.63958333,33.955,-118.2257289,67.39608089,3.757596482,5.382252267,-0.105922702
2019/6/3,62.6,34.005,-118.4757289,67.37649719,3.757596482,5.382252267,-0.105922702
2019/6/3,62.24666667,34.265,-118.3157289,67.35961663,3.757596482,5.382252267,-0.105922702
2019/6/3,63.70958333,34.125,-118.2557289,67.34506609,3.757596482,5.382252267,-0.105922702
2019/6/4,64.26125,34.105,-118.2057289,67.33252395,3.757596482,5.382252267,-0.105922702
2019/6/4,65.07916667,34.135,-117.9557289,67.32171301,3.757596482,5.382252267,-0.105922702
2019/6/4,64.56791667,34.115,-118.1057289,67.31239429,3.757596482,5.382252267,-0.105922702
2019/6/4,64.1875,34.155,-118.0457289,67.30436184,3.757596482,5.382252267,-0.105922702
2019/6/4,63.90958333,34.205,-118.2357289,67.2974381,3.757596482,5.382252267,-0.105922702
2019/6/4,62.995,34.175,-118.1857289,67.29147005,3.757596482,5.382252267,-0.105922702
2019/6/4,63.9675,33.955,-118.2257289,67.28632576,3.757596482,5.382252267,-0.105922702
2019/6/4,62.77958333,34.005,-118.4757289,67.28189154,3.757596482,5.382252267,-0.105922702
2019/6/4,64.23208333,34.265,-118.3157289,67.27806937,3.757596482,5.382252267,-0.105922702
2019/6/4,65.35083333,34.125,-118.2557289,67.27477478,3.757596482,5.382252267,-0.105922702
2019/6/5,67.05458333,34.105,-118.2057289,67.27193493,3.757596482,5.382252267,-0.105922702
2019/6/5,67.8075,34.135,-117.9557289,67.26948708,3.757596482,5.382252267,-0.105922702
2019/6/5,67.575,34.115,-118.1057289,67.26737709,3.757596482,5.382252267,-0.105922702
2019/6/5,67.09583333,34.155,-118.0457289,67.26555835,3.757596482,5.382252267,-0.105922702
2019/6/5,67.19791667,34.205,-118.2357289,67.26399065,3.757596482,5.382252267,-0.105922702
2019/6/5,66.05458333,34.175,-118.1857289,67.26263934,3.757596482,5.382252267,-0.105922702
2019/6/5,65.74125,33.955,-118.2257289,67.26147455,3.757596482,5.382252267,-0.105922702
2019/6/5,64.36416667,34.005,-118.4757289,67.26047053,3.757596482,5.382252267,-0.105922702
2019/6/5,67.56291667,34.265,-118.3157289,67.2596051,3.757596482,5.382252267,-0.105922702
2019/6/5,68.1425,34.125,-118.2557289,67.25885913,3.757596482,5.382252267,-0.105922702
2019/6/6,67.59958333,34.105,-118.2057289,67.25821612,3.757596482,5.382252267,-0.105922702
2019/6/6,68.695,34.135,-117.9557289,67.25766186,3.757596482,5.382252267,-0.105922702
2019/6/6,68.33125,34.115,-118.1057289,67.25718411,3.757596482,5.382252267,-0.105922702
2019/6/6,67.8975,34.155,-118.0457289,67.25677231,3.757596482,5.382252267,-0.105922702
2019/6/6,67.51583333,34.205,-118.2357289,67.25641734,3.757596482,5.382252267,-0.105922702
2019/6/6,66.63666667,34.175,-118.1857289,67.25611137,3.757596482,5.382252267,-0.105922702
2019/6/6,66.57291667,33.955,-118.2257289,67.25584763,3.757596482,5.382252267,-0.105922702
2019/6/6,64.67166667,34.005,-118.4757289,67.2556203,3.757596482,5.382252267,-0.105922702
2019/6/6,68.07916667,34.265,-118.3157289,67.25542435,3.757596482,5.382252267,-0.105922702
2019/6/6,68.61333333,34.125,-118.2557289,67.25525544,3.757596482,5.382252267,-0.105922702
2019/6/7,65.77208333,34.105,-118.2057289,67.25510985,3.757596482,5.382252267,-0.105922702
2019/6/7,66.71458333,34.135,-117.9557289,67.25498435,3.757596482,5.382252267,-0.105922702
2019/6/7,66.48166667,34.115,-118.1057289,67.25487618,3.757596482,5.382252267,-0.105922702
2019/6/7,65.75625,34.155,-118.0457289,67.25478293,3.757596482,5.382252267,-0.105922702
2019/6/7,64.94791667,34.205,-118.2357289,67.25470256,3.757596482,5.382252267,-0.105922702
2019/6/7,64.33708333,34.175,-118.1857289,67.25463328,3.757596482,5.382252267,-0.105922702
2019/6/7,65.56791667,33.955,-118.2257289,67.25457357,3.757596482,5.382252267,-0.105922702
2019/6/7,64.20583333,34.005,-118.4757289,67.25452209,3.757596482,5.382252267,-0.105922702
2019/6/7,65.63666667,34.265,-118.3157289,67.25447772,3.757596482,5.382252267,-0.105922702
2019/6/7,66.63458333,34.125,-118.2557289,67.25443948,3.757596482,5.382252267,-0.105922702
2019/6/8,67.70916667,34.105,-118.2057289,67.25440651,3.757596482,5.382252267,-0.105922702
2019/6/8,68.42958333,34.135,-117.9557289,67.2543781,3.757596482,5.382252267,-0.105922702
2019/6/8,68.33666667,34.115,-118.1057289,67.2543536,3.757596482,5.382252267,-0.105922702
2019/6/8,67.72166667,34.155,-118.0457289,67.25433249,3.757596482,5.382252267,-0.105922702
2019/6/8,67.07166667,34.205,-118.2357289,67.25431429,3.757596482,5.382252267,-0.105922702
2019/6/8,66.36083333,34.175,-118.1857289,67.25429861,3.757596482,5.382252267,-0.105922702
2019/6/8,67.26791667,33.955,-118.2257289,67.25428509,3.757596482,5.382252267,-0.105922702
2019/6/8,65.89708333,34.005,-118.4757289,67.25427343,3.757596482,5.382252267,-0.105922702
2019/6/8,67.37208333,34.265,-118.3157289,67.25426338,3.757596482,5.382252267,-0.105922702
2019/6/8,68.71416667,34.125,-118.2557289,67.25425473,3.757596482,5.382252267,-0.105922702
2019/6/9,73.58541667,34.105,-118.2057289,67.25424726,3.757596482,5.382252267,-0.105922702
2019/6/9,73.94791667,34.135,-117.9557289,67.25424083,3.757596482,5.382252267,-0.105922702
2019/6/9,73.92833333,34.115,-118.1057289,67.25423528,3.757596482,5.382252267,-0.105922702
2019/6/9,73.4075,34.155,-118.0457289,67.2542305,3.757596482,5.382252267,-0.105922702
2019/6/9,75.71541667,34.205,-118.2357289,67.25422638,3.757596482,5.382252267,-0.105922702
2019/6/9,74.08333333,34.175,-118.1857289,67.25422283,3.757596482,5.382252267,-0.105922702
2019/6/9,71.30791667,33.955,-118.2257289,67.25421977,3.757596482,5.382252267,-0.105922702
2019/6/9,69.32083333,34.005,-118.4757289,67.25421713,3.757596482,5.382252267,-0.105922702
2019/6/9,76.10166667,34.265,-118.3157289,67.25421485,3.757596482,5.382252267,-0.105922702
2019/6/9,75.40916667,34.125,-118.2557289,67.25421289,3.757596482,5.382252267,-0.105922702
2019/6/10,80.01125,34.105,-118.2057289,67.2542112,3.757596482,5.382252267,-0.105922702
2019/6/10,80.63583333,34.135,-117.9557289,67.25420975,3.757596482,5.382252267,-0.105922702
2019/6/10,80.45916667,34.115,-118.1057289,67.25420849,3.757596482,5.382252267,-0.105922702
2019/6/10,80.35041667,34.155,-118.0457289,67.25420741,3.757596482,5.382252267,-0.105922702
2019/6/10,83.51125,34.205,-118.2357289,67.25420647,3.757596482,5.382252267,-0.105922702
2019/6/10,81.67958333,34.175,-118.1857289,67.25420567,3.757596482,5.382252267,-0.105922702
2019/6/10,76.95708333,33.955,-118.2257289,67.25420498,3.757596482,5.382252267,-0.105922702
2019/6/10,75.28541667,34.005,-118.4757289,67.25420438,3.757596482,5.382252267,-0.105922702
2019/6/10,83.22666667,34.265,-118.3157289,67.25420386,3.757596482,5.382252267,-0.105922702
2019/6/10,81.94583333,34.125,-118.2557289,67.25420342,3.757596482,5.382252267,-0.105922702
2019/6/11,81.03166667,34.105,-118.2057289,67.25420304,3.757596482,5.382252267,-0.105922702
2019/6/11,81.27125,34.135,-117.9557289,67.25420271,3.757596482,5.382252267,-0.105922702
2019/6/11,81.39708333,34.115,-118.1057289,67.25420242,3.757596482,5.382252267,-0.105922702
2019/6/11,81.59458333,34.155,-118.0457289,67.25420218,3.757596482,5.382252267,-0.105922702
2019/6/11,85.54166667,34.205,-118.2357289,67.25420197,3.757596482,5.382252267,-0.105922702
2019/6/11,83.41625,34.175,-118.1857289,67.25420179,3.757596482,5.382252267,-0.105922702
2019/6/11,77.14833333,33.955,-118.2257289,67.25420163,3.757596482,5.382252267,-0.105922702
2019/6/11,74.88458333,34.005,-118.4757289,67.25420149,3.757596482,5.382252267,-0.105922702
2019/6/11,85.67125,34.265,-118.3157289,67.25420138,3.757596482,5.382252267,-0.105922702
2019/6/11,83.18375,34.125,-118.2557289,67.25420128,3.757596482,5.382252267,-0.105922702
2019/6/12,75.42958333,34.105,-118.2057289,67.25420119,3.757596482,5.382252267,-0.105922702
2019/6/12,75.75291667,34.135,-117.9557289,67.25420111,3.757596482,5.382252267,-0.105922702
2019/6/12,75.75125,34.115,-118.1057289,67.25420105,3.757596482,5.382252267,-0.105922702
2019/6/12,75.44708333,34.155,-118.0457289,67.25420099,3.757596482,5.382252267,-0.105922702
2019/6/12,77.73791667,34.205,-118.2357289,67.25420095,3.757596482,5.382252267,-0.105922702
2019/6/12,75.83583333,34.175,-118.1857289,67.25420091,3.757596482,5.382252267,-0.105922702
2019/6/12,72.68958333,33.955,-118.2257289,67.25420087,3.757596482,5.382252267,-0.105922702
2019/6/12,70.85083333,34.005,-118.4757289,67.25420084,3.757596482,5.382252267,-0.105922702
2019/6/12,78.6425,34.265,-118.3157289,67.25420081,3.757596482,5.382252267,-0.105922702
2019/6/12,77.095,34.125,-118.2557289,67.25420079,3.757596482,5.382252267,-0.105922702
2019/6/13,67.72125,34.105,-118.2057289,67.25420077,3.757596482,5.382252267,-0.105922702
2019/6/13,68.70458333,34.135,-117.9557289,67.25420075,3.757596482,5.382252267,-0.105922702
2019/6/13,68.52166667,34.115,-118.1057289,67.25420074,3.757596482,5.382252267,-0.105922702
2019/6/13,68.27916667,34.155,-118.0457289,67.25420073,3.757596482,5.382252267,-0.105922702
2019/6/13,67.87458333,34.205,-118.2357289,67.25420072,3.757596482,5.382252267,-0.105922702
2019/6/13,66.91083333,34.175,-118.1857289,67.25420071,3.757596482,5.382252267,-0.105922702
2019/6/13,66.73166667,33.955,-118.2257289,67.2542007,3.757596482,5.382252267,-0.105922702
2019/6/13,65.00166667,34.005,-118.4757289,67.25420069,3.757596482,5.382252267,-0.105922702
2019/6/13,68.47458333,34.265,-118.3157289,67.25420069,3.757596482,5.382252267,-0.105922702
2019/6/13,68.77666667,34.125,-118.2557289,67.25420068,3.757596482,5.382252267,-0.105922702
2019/6/14,65.10666667,34.105,-118.2057289,67.25420068,3.757596482,5.382252267,-0.105922702
2019/6/14,65.955,34.135,-117.9557289,67.25420067,3.757596482,5.382252267,-0.105922702
2019/6/14,65.67541667,34.115,-118.1057289,67.25420067,3.757596482,5.382252267,-0.105922702
2019/6/14,65.06125,34.155,-118.0457289,67.25420067,3.757596482,5.382252267,-0.105922702
2019/6/14,63.49875,34.205,-118.2357289,67.25420066,3.757596482,5.382252267,-0.105922702
2019/6/14,63.01958333,34.175,-118.1857289,67.25420066,3.757596482,5.382252267,-0.105922702
2019/6/14,65.43625,33.955,-118.2257289,67.25420066,3.757596482,5.382252267,-0.105922702
2019/6/14,64.27458333,34.005,-118.4757289,67.25420066,3.757596482,5.382252267,-0.105922702
2019/6/14,64.2125,34.265,-118.3157289,67.25420066,3.757596482,5.382252267,-0.105922702
2019/6/14,65.82125,34.125,-118.2557289,67.25420066,3.757596482,5.382252267,-0.105922702
2019/6/15,65.79695652,34.105,-118.2057289,67.25420065,3.757596482,5.382252267,-0.105922702
2019/6/15,66.63565217,34.135,-117.9557289,67.25420065,3.757596482,5.382252267,-0.105922702
2019/6/15,66.29652174,34.115,-118.1057289,67.25420065,3.757596482,5.382252267,-0.105922702
2019/6/15,65.64521739,34.155,-118.0457289,67.25420065,3.757596482,5.382252267,-0.105922702
2019/6/15,64.34521739,34.205,-118.2357289,67.25420065,3.757596482,5.382252267,-0.105922702
2019/6/15,63.80347826,34.175,-118.1857289,67.25420065,3.757596482,5.382252267,-0.105922702
2019/6/15,66.32347826,33.955,-118.2257289,67.25420065,3.757596482,5.382252267,-0.105922702
2019/6/15,65.56826087,34.005,-118.4757289,67.25420065,3.757596482,5.382252267,-0.105922702
2019/6/15,64.81956522,34.265,-118.3157289,67.25420065,3.757596482,5.382252267,-0.105922702
2019/6/15,66.58434783,34.125,-118.2557289,67.25420065,3.757596482,5.382252267,-0.105922702
